foeAgility,cunning,stability,dodging,volleyGroupID,groupSize,tApplied,dis2Last,dis2Cent,dis2Group,clicked,dodged
3,13,9,3,0,2,1,0.5579148698972299,0.5579148698972299,0.4559858427110886,1,1
3,13,9,3,0,2,1,0.2676916152337555,0.2676916152337555,0.4559858427110886,0,0
3,13,9,3,1,2,1,0.41332664139745073,0.2764121147503472,0.34923616605805524,1,1
3,13,9,3,1,2,1,0.07597618595386221,0.48195596405607993,0.34923616605805524,0,0
3,13,9,3,2,1,1,0.4298453609636178,0.61213131845603,0,1,1
3,13,9,3,3,1,1,0.502100894401093,0.5694660206116952,0,1,1
7,6,0,1,0,1,6,0.4403796201745476,0.4403796201745476,0,1,0
7,6,0,1,1,2,1,0.7761536976833677,0.3358899247321587,0.7251588265248523,1,0
7,6,0,1,1,2,2,0.6231274485873877,0.570758614158416,0.7251588265248523,1,0
7,6,0,1,2,1,6,0.9947842677696971,0.44460179169644676,0,1,0
7,6,0,1,3,2,6,0.8215005628744776,0.5231041045012008,1.0061535325113762,1,0
7,6,0,1,3,2,8,0.741181585641756,0.5304868623560366,1.0061535325113762,0,0
7,6,0,1,4,1,8,0.2434930250915407,0.5559551971531648,0,1,1
7,6,0,1,5,1,2,0.2543199543015291,0.34163818167085297,0,1,1
7,6,0,1,6,1,1,0.5590814717859652,0.4347784266688483,0,1,0
7,6,0,1,7,1,6,0.9318840233810328,0.49990948487468495,0,1,1
7,6,0,1,8,2,9,1.0056685627385784,0.5067310949058959,0.9191176910628533,1,0
7,6,0,1,8,2,9,0.10618507658255386,0.4126202233066422,0.9191176910628533,0,0
7,6,0,1,9,2,8,1.1848279518492253,0.679372554798559,0.8392328289527795,1,0
7,6,0,1,9,2,6,0.7493218131315221,0.501028803460709,0.8392328289527795,0,0
5,4,4,1,0,2,9,0.46065366859754003,0.46065366859754003,0.6823272437350527,1,0
5,4,4,1,0,2,13,0.46703529275728467,0.46703529275728467,0.6823272437350527,0,0
5,4,4,1,1,3,11,0.6579570787467878,0.3874593983257445,0.3358932442177506,0,0
5,4,4,1,1,3,13,0.12967024924230164,0.4124667962123541,0.48202709106661284,0,0
5,4,4,1,1,3,11,0.5354565848540225,0.2739571694646461,0.2777496404358789,0,0
5,4,4,1,1,3,11,0.6579570787467878,0.3874593983257445,0.3358932442177506,0,0
5,4,4,1,1,3,13,0.12967024924230164,0.4124667962123541,0.48202709106661284,0,0
5,4,4,1,2,1,13,0.49399381300405926,0.45359307229693646,0,0,0
5,4,4,1,3,5,6,0.8311135592175042,0.3785869814443183,0.357633648360106,1,0
5,4,4,1,3,5,13,0.8478423022018854,0.4151940958456244,0.3339006525243058,0,0
5,4,4,1,3,5,13,0.6520602204798329,0.5236767750499376,0.5083997852347054,0,0
5,4,4,1,3,5,4,0.8291274132014015,0.38019464104940875,0.33291436526845286,0,0
5,4,4,1,3,5,13,0.447803430107696,0.3597517048202852,0.48307471204524755,0,0
5,4,4,1,4,1,1,0.6097333024506807,0.44012342366355817,0,1,0
5,4,4,1,5,1,11,0.09654057269065117,0.4106393252044961,0,1,0
5,4,4,1,6,2,4,0.48187427679427985,0.326812390777608,0.4856783893929128,1,1
5,4,4,1,6,2,8,0.09201661833351922,0.3514981638924836,0.4856783893929128,0,0
5,4,4,1,7,2,9,0.4696715478803479,0.32505091324209123,0.4789614667918986,1,0
5,4,4,1,7,2,13,0.7462548047838419,0.42181690444003483,0.4789614667918986,0,0
5,4,4,1,9,2,6,0.026637000584984524,0.44264323166575514,0.6731874637624057,1,1
5,4,4,1,8,2,9,0.5164530708294448,0.4536172796276038,0.1775490093775984,1,0
5,4,4,1,8,2,13,0.44803089986200123,0.27813079137409985,0.1775490093775984,0,0
5,4,4,1,9,2,9,0.6958410583137737,0.40042967697931425,0.6731874637624057,1,0
5,4,4,1,10,2,8,0.6276123685343632,0.3313032777977417,0.41893678746624635,1,0
5,4,4,1,10,2,11,0.8002338704630724,0.4012236921990724,0.41893678746624635,0,0
5,4,4,1,11,2,13,0.7251820413784066,0.3939868836080398,0.7075446418543658,0,0
5,4,4,1,11,2,13,0.14645126754336676,0.328767484155591,0.7075446418543658,0,0
5,4,4,1,11,2,13,0.7251820413784066,0.3939868836080398,0.7075446418543658,0,0
5,4,4,1,12,3,13,0.5971059048969984,0.4450976934673714,0.33972969397270175,0,0
5,4,4,1,12,3,13,0.6979175486492473,0.37144024856831687,0.5289150222538055,0,0
5,4,4,1,12,3,13,0.5417382352540974,0.35050030379893327,0.2919927626665038,0,0
5,4,4,1,12,3,13,0.5971059048969984,0.4450976934673714,0.33972969397270175,0,0
5,4,4,1,12,3,13,0.6979175486492473,0.37144024856831687,0.5289150222538055,0,0
13,2,2,0,0,3,9,0.44636345120909393,0.44636345120909393,0.8490902860846545,1,0
13,2,2,0,0,3,9,0.5049348349964741,0.5049348349964741,0.7399553574383676,0,0
13,2,2,0,0,3,9,0.49544609081302854,0.49544609081302854,0.6414589917687756,0,0
13,2,2,0,1,8,6,0.6980043473478145,0.48145023604317194,0.6028534474534334,1,0
13,2,2,0,2,2,8,0.7759894704465772,0.6034341865346593,0.16948197009070096,1,0
13,2,2,0,2,2,11,0.6712353154329661,0.43406208259251683,0.16948197009070096,0,0
13,2,2,0,1,8,11,0.7353826171876471,0.5645619182414816,0.6638914282110902,1,0
13,2,2,0,1,8,9,0.5671862122268148,0.37170731353691233,0.5842098453396719,0,0
13,2,2,0,1,8,11,0.10106400662929031,0.5326149637168045,0.7583896645690723,0,0
13,2,2,0,1,8,4,0.5268811841881201,0.3337977356846003,0.56026909279584,0,0
13,2,2,0,1,8,9,0.49573464181129656,0.3638325281225307,0.5829432592920695,0,0
13,2,2,0,1,8,9,0.8131475162793409,0.501681713656578,0.6268597125200575,0,0
13,2,2,0,1,8,4,0.9967192772211916,0.5511147154682576,0.7429324318088223,0,0
13,2,2,0,1,8,9,0.5671862122268148,0.37170731353691233,0.5842098453396719,0,0
13,2,2,0,1,8,11,0.10106400662929031,0.5326149637168045,0.7583896645690723,0,0
13,2,2,0,1,8,4,0.5268811841881201,0.3337977356846003,0.56026909279584,0,0
13,2,2,0,1,8,9,0.49573464181129656,0.3638325281225307,0.5829432592920695,0,0
13,2,2,0,1,8,9,0.8131475162793409,0.501681713656578,0.6268597125200575,0,0
13,2,2,0,3,1,11,0.8740698468611598,0.5316784943735472,0,1,0
1,1,2,1,0,2,1,0.37677027845911626,0.37677027845911626,0.107605224520613,1,0
1,1,2,1,0,2,1,0.46367867836401494,0.46367867836401494,0.107605224520613,1,0
4,2,0,0,0,13,1,0.5759788879081158,0.5759788879081158,0.6790114931165171,1,0
4,2,0,0,0,13,1,0.5822372345806305,0.5822372345806305,0.6792600741259975,1,0
4,2,0,0,0,13,1,0.5759788879081158,0.5759788879081158,0.6790114931165171,1,0
4,2,0,0,0,13,1,0.43302879509171877,0.43302879509171877,0.5743872806284351,0,0
4,2,0,0,0,13,1,0.3536621602905115,0.3536621602905115,0.595947336741668,0,0
4,2,0,0,0,13,1,0.5007020498235758,0.5007020498235758,0.695605836422377,0,0
4,2,0,0,0,13,1,0.4559624083298135,0.4559624083298135,0.5879637735869664,0,0
4,2,0,0,0,13,1,0.43533818203190394,0.43533818203190394,0.6323021973388403,0,0
4,2,0,0,0,13,1,0.3806421551219461,0.3806421551219461,0.6204391147315772,0,0
4,2,0,0,0,13,1,0.6620337445570961,0.6620337445570961,0.8019913831358553,0,0
4,2,0,0,0,13,1,0.4938589405397094,0.4938589405397094,0.6930917483176731,0,0
4,2,0,0,0,13,1,0.5615930133172673,0.5615930133172673,0.7312696575135454,0,0
4,2,0,0,0,13,1,0.47489286015520593,0.47489286015520593,0.6544338426661523,0,0
4,2,0,0,0,13,1,0.39574281249021276,0.39574281249021276,0.5588783490839376,0,0
2,10,5,4,0,2,1,0.233306739067556,0.233306739067556,0.0623300171672441,1,1
2,10,5,4,0,2,1,0.25185698942936746,0.25185698942936746,0.0623300171672441,1,1
2,10,5,4,0,2,1,0.233306739067556,0.233306739067556,0.0623300171672441,1,1
6,5,7,3,0,4,6,0.31264346103827934,0.31264346103827934,0.4344265264240603,1,1
6,5,7,3,0,4,8,0.317048549306362,0.317048549306362,0.5694064134510493,1,0
6,5,7,3,0,4,11,0.3532094125972379,0.3532094125972379,0.3840032789499939,0,0
6,5,7,3,0,4,9,0.34000335344654303,0.34000335344654303,0.3886741669107167,0,0
6,5,7,3,1,4,6,0.390875266280396,0.2823673224180171,0.4047540681769723,1,1
6,5,7,3,1,4,9,0.505251478213178,0.3188331638827094,0.5791711117588855,0,0
6,5,7,3,1,4,6,0.5136231558298575,0.35593552918831006,0.40998578565396643,0,0
6,5,7,3,1,4,9,0.7123869708934267,0.3971406337913857,0.47136246318434183,0,0
6,5,7,3,2,2,6,0.4549559057954675,0.36676677498159127,0.09039215696429673,1,1
6,5,7,3,2,2,11,0.5060597709069832,0.3645645976070071,0.09039215696429673,0,0
6,5,7,3,3,1,11,0.5044946793274635,0.27862048692650243,0,1,0
6,5,7,3,4,1,9,0.4120152179264249,0.3597717463624353,0,1,1
6,5,7,3,5,3,6,0.09732126047882239,0.27494054392529926,0.5630065648897304,1,0
6,5,7,3,5,3,9,0.5917239033022478,0.3595769169525579,0.5102514869920757,1,0
6,5,7,3,5,3,11,0.7046149460040698,0.36079272713782545,0.5773089473781348,0,0
11,5,2,1,0,1,11,0.4997717813465205,0.4997717813465205,0,1,0
11,5,2,1,1,1,9,0.5973312828826147,0.4904831750057353,0,1,0
11,5,2,1,2,1,8,0.13351280231412846,0.4871696473284873,0,1,1
11,5,2,1,3,1,11,0.16547909179772888,0.470815712927094,0,1,0
