foeAgility,cunning,stability,dodging,volleyGroupID,groupSize,tApplied,dis2Last,dis2Cent,dis2Group,clicked,dodged
2,4,2,2,0,1,1,0.5419519363113465,0.5419519363113465,0,1,0
2,4,2,2,1,2,1,0.17170838645469963,0.5256687309386884,0.22217894612751607,1,0
2,4,2,2,1,2,1,0.18339400478067705,0.3587219825807981,0.22217894612751607,0,0
14,5,4,2,0,1,9,0.28760706805047365,0.28760706805047365,0,1,0
14,5,4,2,1,3,6,0.08073779815739167,0.35868665893463425,0.4286805052664875,1,0
14,5,4,2,1,3,9,0.208000417610075,0.49442561193919815,0.5009356634462909,0,0
14,5,4,2,1,3,6,0.6388577878676639,0.3568479032526794,0.7745991679373216,0,0
14,5,4,2,2,1,9,0.8340849830535574,0.47629536664185557,0,1,0
14,5,4,2,3,3,9,0.48992601683842085,0.3403776372304095,0.5574136544273971,1,0
14,5,4,2,3,3,6,0.5278789839593814,0.2778480295434218,0.5602215129358816,0,0
14,5,4,2,3,3,8,0.02773298602740099,0.47895962239721235,0.5127467593040311,0,0
14,5,4,2,4,2,6,0.08694420603495803,0.4086312603314179,0.18751456718665,1,0
14,5,4,2,4,2,8,0.1208575047020359,0.3698473246975839,0.18751456718665,0,0
14,5,4,2,5,1,8,0.8299325203604091,0.4499830938216833,0,1,0
14,5,4,2,6,3,9,0.48259646272629175,0.3804651598497967,0.40170497445849834,1,0
14,5,4,2,6,3,8,0.6663671990354127,0.5433223773714393,0.426841901059649,0,0
14,5,4,2,6,3,9,0.8712474264579584,0.4255313129872672,0.6349970687311868,0,0
14,5,4,2,7,3,6,0.07477083688675148,0.4209872255117559,0.3572331524302733,1,0
14,5,4,2,7,3,9,0.5577107760112513,0.4669947837226022,0.611567284475111,0,0
14,5,4,2,7,3,9,0.06866462892084527,0.4485478743401881,0.33666410218960446,0,0
14,5,4,2,8,2,9,0.047466943360471144,0.4528975632985157,0.7190997240815014,1,0
14,5,4,2,8,2,9,0.6716400293312418,0.5230103788900243,0.7190997240815014,1,0
2,8,1,1,0,1,2,0.6410335240074266,0.6410335240074266,0,1,0
2,8,1,1,1,6,2,0.8163326041117365,0.4261294810221378,0.6579650421646906,1,0
2,8,1,1,1,6,1,0.7071989413117964,0.4573369460372204,0.6451668001372518,1,0
2,8,1,1,1,6,2,1.0664323362015837,0.4388356813831733,0.8035343253727234,0,0
2,8,1,1,1,6,1,0.18464769077188886,0.4647830155577745,0.599814978328878,0,0
2,8,1,1,1,6,2,0.9118589514300596,0.6965171561381849,0.9385506651032125,0,0
2,8,1,1,1,6,1,0.12051400167914382,0.521927904747791,0.6370549493211505,0,0
10,13,6,3,0,3,8,0.28541238324686613,0.28541238324686613,0.5137223858808394,1,0
10,13,6,3,0,3,8,0.4006543138541566,0.4006543138541566,0.44456347167253024,0,0
10,13,6,3,0,3,8,0.29325238747256777,0.29325238747256777,0.49787079184247524,0,0
10,13,6,3,1,1,6,0.5237175182486704,0.2871268606685097,0,1,1
10,13,6,3,2,4,6,0.4085661746526883,0.35974977480327375,0.3735052269754003,1,0
10,13,6,3,2,4,2,0.41956840888659824,0.36823859092450545,0.380064059231136,1,0
10,13,6,3,2,4,6,0.4085661746526883,0.35974977480327375,0.3735052269754003,1,0
10,13,6,3,2,4,8,0.028928556017539107,0.315387560412444,0.4465000511724204,0,0
10,13,6,3,2,4,8,0.4671073134443627,0.3320525027355857,0.6276682328001081,0,0
10,13,6,3,3,1,6,0.46663297713124713,0.3831082300616075,0,1,1
10,13,6,3,4,1,6,0.7732464605761127,0.39424921094409204,0,1,1
10,13,6,3,5,1,8,0.6819543115976476,0.2899967791082001,0,1,1
10,13,6,3,6,2,6,0.5006209162491629,0.377733094616448,0.6001378346019631,1,0
10,13,6,3,6,2,8,0.4010877316170522,0.22859014796573002,0.6001378346019631,0,0
10,13,6,3,7,6,6,0.37100539796698506,0.23871829092157038,0.331234640513035,1,0
10,13,6,3,7,6,2,0.3510374204980361,0.22654017124123443,0.3143967720736237,1,0
10,13,6,3,7,6,8,0.046376475692316246,0.3321299086698171,0.21149687127564049,1,0
10,13,6,3,7,6,4,0.11456035224710673,0.3340875877965575,0.2016613594297402,0,0
10,13,6,3,7,6,2,0.15104132511173485,0.4161849572539266,0.25698603860874586,0,0
10,13,6,3,7,6,4,0.14950654683371592,0.33309754224090776,0.21597065525903753,0,0
10,13,6,3,7,6,4,0.11456035224710673,0.3340875877965575,0.2016613594297402,0,0
10,13,6,3,7,6,2,0.15104132511173485,0.4161849572539266,0.25698603860874586,0,0
10,13,6,3,7,6,4,0.14950654683371592,0.33309754224090776,0.21597065525903753,0,0
10,13,6,3,9,5,6,0.15965945363354753,0.35083526855038405,0.5948206553717854,1,1
10,13,6,3,8,1,6,0.45925511831604454,0.378864811036136,0,1,0
10,13,6,3,9,5,6,0.5448019013416086,0.3835245749042728,0.44677633458501964,1,0
10,13,6,3,9,5,2,0.6976755893358493,0.3262705705136044,0.4348773999928568,0,0
10,13,6,3,9,5,8,0.6062691651269374,0.22773002275812904,0.3611999260381423,0,0
10,13,6,3,9,5,2,0.518663533794882,0.26604105332874406,0.3603351577284773,0,0
10,13,6,3,10,2,4,0.12528964583877794,0.30835785459884746,0.522773087817704,1,0
10,13,6,3,10,2,8,0.5222230240210821,0.32374460711215985,0.522773087817704,0,0
5,13,7,6,0,5,1,0.152483123144608,0.152483123144608,0.30215308666888185,1,1
5,13,7,6,0,5,1,0.31059675968823314,0.31059675968823314,0.36392133710279967,0,0
5,13,7,6,0,5,1,0.2854960870038512,0.2854960870038512,0.31672811839453635,0,0
5,13,7,6,0,5,1,0.4019067383129523,0.4019067383129523,0.5987539375017921,0,0
5,13,7,6,0,5,1,0.31357714356003985,0.31357714356003985,0.38982879645905155,0,0
5,13,7,6,1,4,1,0.4215554757001021,0.38211094067118423,0.38509389447914466,1,1
5,13,7,6,1,4,1,0.40076231596351813,0.3391874358082972,0.634100876657706,0,0
5,13,7,6,1,4,1,0.38630025288775577,0.3232642888878871,0.3597803961874578,0,0
5,13,7,6,1,4,0,0.14122309872949956,0.2559380125149814,0.419805468672215,0,0
16,2,4,2,0,3,9,0.3763815311884862,0.3763815311884862,0.3437177405925898,1,0
16,2,4,2,0,3,9,0.4509503665021336,0.4509503665021336,0.37056035951698596,0,0
16,2,4,2,0,3,9,0.3871847728224118,0.3871847728224118,0.6387996275173364,0,0
16,2,4,2,1,2,6,0.7556799879300969,0.4107193573950235,0.1632368221658626,1,0
16,2,4,2,1,2,9,0.6336335871681317,0.2661293327689314,0.1632368221658626,0,0
